Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
4160.0,-0.241,0.464,-1.026,-18.266,113.163,26.044,-1.018,0.049,0.043,5.923,-3.626,3.129,-0.969,-0.014,0.263,5.132,5.555,-2.641,-1.252,-0.189,-0.044,-21.399,-14.249,11.766
4180.0,-0.229,0.52,-1.001,-19.227,106.12,22.531,-1.004,0.108,0.086,14.822,-2.356,3.224,-0.974,-0.017,0.264,7.019,5.95,-5.181,-1.166,-0.121,0.011,-61.208,0.846,9.682
4200.0,-0.2,0.547,-1.01,-17.361,97.107,20.995,-0.982,0.14,0.058,21.774,0.537,-0.057,-0.965,-0.038,0.256,11.508,6.988,-5.763,-1.259,-0.166,-0.07,-83.989,5.518,6.082
4220.0,-0.17,0.532,-1.011,-14.075,88.74,18.467,-1.003,0.133,0.032,16.023,0.473,-1.092,-0.969,-0.022,0.234,16.714,8.551,-5.81,-1.348,-0.328,-0.128,-72.694,-11.408,7.415
4240.0,-0.109,0.504,-1.02,-10.952,83.309,16.845,-1.015,0.109,0.049,16.429,0.394,1.636,-0.988,0.018,0.214,16.436,8.858,-6.626,-1.324,-0.353,-0.119,-25.771,-14.067,10.95
4260.0,-0.056,0.544,-1.06,-9.889,82.143,14.571,-1.008,0.078,0.053,20.097,0.71,3.401,-1.018,0.008,0.207,12.075,6.744,-6.614,-1.357,-0.234,-0.116,11.118,-3.662,11.631
4280.0,-0.074,0.573,-1.057,-11.172,80.077,14.201,-1.017,0.071,0.035,20.282,0.461,2.751,-1.018,-0.036,0.194,10.693,1.048,-4.674,-1.458,-0.165,-0.152,24.268,-1.431,11.492
4300.0,-0.106,0.573,-1.012,-15.918,72.533,17.331,-1.031,0.073,0.033,18.907,-0.498,3.464,-0.997,-0.048,0.187,12.805,-2.886,-2.461,-1.402,-0.138,-0.071,20.047,-1.44,11.764
4320.0,-0.098,0.606,-1.003,-18.55,65.371,24.72,-1.014,0.089,0.021,20.371,-1.046,8.203,-1.008,-0.011,0.192,16.963,-6.045,-2.273,-1.423,-0.173,-0.101,10.617,5.002,14.523
4340.0,-0.057,0.602,-1.038,-16.73,58.327,35.218,-1.004,0.129,0.024,22.98,0.087,9.451,-1.004,-0.011,0.197,18.988,-7.7,-3.933,-1.483,-0.198,-0.109,15.362,5.59,15.664
4360.0,-0.025,0.563,-1.044,-10.378,44.595,35.428,-1.023,0.138,0.048,16.588,-0.104,7.946,-0.994,-0.034,0.237,19.881,-7.996,-4.413,-1.46,-0.136,-0.081,3.598,5.371,10.704
4380.0,-0.012,0.553,-1.038,-4.005,29.426,29.337,-0.999,0.13,0.033,13.194,-1.71,5.915,-0.973,-0.038,0.265,20.236,-7.641,-2.985,-1.484,-0.151,-0.083,-8.815,1.05,5.196
4400.0,0.008,0.56,-1.045,5.156,12.777,22.743,-0.996,0.188,0.037,5.875,-0.999,4.793,-0.953,-0.008,0.266,18.87,-3.176,-1.854,-1.452,-0.258,-0.105,0.223,0.699,3.72
4420.0,0.019,0.551,-1.037,11.772,-1.709,17.939,-1.022,0.174,0.025,-1.225,-0.124,3.408,-0.962,0.039,0.265,8.656,-1.138,-1.622,-1.416,-0.266,-0.091,17.377,-4.012,4.803
