Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
2220.0,-0.959,-0.019,0.426,-10.124,10.712,-7.012,-0.988,0.185,-0.111,-0.498,-2.048,0.695,0.008,0.386,0.061,1.609,-214.017,221.442
2240.0,-0.91,0.076,0.394,-4.999,6.833,-10.589,-0.991,0.176,-0.11,-0.541,-1.409,0.532,0.119,0.218,-0.018,-15.509,-232.149,211.177
2260.0,-0.932,0.015,0.337,-8.07,4.917,-8.334,-0.99,0.173,-0.106,-0.473,-0.953,0.709,0.348,-0.081,-0.188,-37.734,-195.508,181.521
2280.0,-0.95,-0.005,0.286,-5.143,8.077,-8.181,-0.993,0.179,-0.107,-1.059,-0.605,0.887,0.81,-0.349,-0.287,-43.687,-158.681,159.563
2300.0,-0.961,0.056,0.36,0.73,13.272,-7.29,-0.992,0.18,-0.113,-1.035,-0.56,0.692,0.877,-0.426,-0.233,-34.53,-96.727,138.039
2320.0,-1.009,0.043,0.401,3.35,6.88,-6.792,-0.988,0.179,-0.117,-0.601,-0.507,0.574,0.78,-0.394,-0.376,-28.384,-90.961,119.945
2340.0,-0.994,0.006,0.296,-0.635,1.787,-9.571,-0.989,0.174,-0.116,-0.03,-0.435,0.677,0.795,-0.391,-0.461,-27.249,-106.286,94.464
2360.0,-0.971,0.005,0.277,-6.23,5.742,-10.07,-0.993,0.171,-0.109,0.233,-0.457,1.204,0.854,-0.369,-0.441,-27.081,-80.564,70.299
2380.0,-1.023,0.016,0.302,-7.223,4.796,-8.978,-0.996,0.179,-0.113,-0.127,-0.436,1.89,0.799,-0.313,-0.48,-25.972,-60.411,57.376
2400.0,-1.053,0.042,0.322,-5.504,0.506,-6.142,-0.994,0.19,-0.116,-0.039,-0.615,1.681,0.814,-0.244,-0.514,-9.146,-52.52,44.194
2420.0,-1.026,0.047,0.328,-4.412,-5.617,-2.983,-0.986,0.195,-0.123,0.171,-0.468,0.372,0.912,-0.226,-0.45,-3.592,-27.02,31.582
2440.0,-0.938,0.014,0.326,-3.309,-9.06,-1.8,-0.987,0.191,-0.12,-0.058,0.031,-1.596,0.969,-0.138,-0.308,-5.148,-10.247,26.031
2460.0,-0.915,-0.017,0.3,0.521,-9.853,-2.321,-0.986,0.184,-0.118,0.046,0.359,-2.857,0.97,-0.167,-0.241,0.539,-8.545,22.291
2480.0,-0.96,0.001,0.277,3.937,-9.236,-3.002,-0.996,0.173,-0.116,0.21,-0.252,-2.902,0.971,-0.102,-0.178,15.614,-12.43,22.16
